advertiser_brand,category,brand_ambassadors,celebrity_influence,health_social_risk,health_social_risk_cause
Vishnu Packaging (Vimal Elaichi),Pan Masala/Mouth Freshener,"Shah Rukh Khan, Ajay Devgn, Akshay Kumar",Extremely High,Extremely High,Carcinogenic (Surrogate Ads)
Sporta Technologies (Dream11),Fantasy Gaming / Betting,"Rohit Sharma, Aamir Khan, Ranbir Kapoor, Varun Dhawan, Hardik Pandya, others",Extremely High,Extremely High,Promotes Gambling
Reliance Consumer Products,FMCG / Beverages,multiple,Moderate,Moderate,Moderate  (Sugar Content)
My11Circle,Fantasy Gaming / Betting,"Sourav Ganguly, Shubman Gill, Mohammed Siraj, Ruturaj Gaikwad, Rinku Singh, Yashasvi Jaiswal",High,Extremely High,Promotes Gambling
Rajshree Silver Coated Elaichi,Pan Masala/Mouth Freshener,Salman Khan,Extremely High,Extremely High,Carcinogenic (Surrogate Ads)
Parle Biscuits,FMCG (Biscuits & Snacks),"Ananya Panday, Lakshya (Hide & Seek)",Moderate,Moderate,Moderate  (Sugar Content)
Kamla Pasand,Pan Masala/Mouth Freshener,"Virender Sehwag, Sunil Gavaskar (2025), previously Ranveer Singh, Amitabh Bachchan",Extremely High,Extremely High,Carcinogenic (Surrogate Ads)
PokerBaazi,Fantasy Gaming / Betting,Shahid Kapoor,High,Extremely High,Promotes Gambling
Britannia 50-50,FMCG (Biscuits & Snacks),multiple,Moderate,Moderate,Moderate  (Sugar Content)
Amazon Prime,OTT/Entertainment,"Varun Dhawan, Alia Bhatt",High,Low,Low
